LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
34.022659302,-118.438652039,3815613985340226038495917846_381561330534022694122734121,2018,0,1,0,0,0,0,1
33.771053314,-118.24030304,3817593925337726257993907375_3817596605337703091715391624,2018,0,1,0,1,0,0,0
33.938201904,-118.343917847,381656086533938202123006775_3816554005339382007071667278,2019,0,1,0,0,0,0,1
33.938201904,-118.343917847,3816554005339382007071667278_381656086533938202123006775,2019,0,1,0,0,0,0,1
33.958030701,-118.353271484,3816467365339580547828960883_3816467485339579971719349061,2019,0,1,0,0,0,0,1
33.945030212,-118.352729797,38164726953394521910041019471_38164726753394486010041019474,2019,0,1,0,0,0,0,1
33.95401001,-118.332992554,3816671205339540057537358724_3816667655339539981980752509,2019,0,1,0,0,0,0,1
33.976108551,-118.347572327,381651816533975846123328645_381652444533976115123328646,2019,0,1,0,0,0,0,1
33.952709198,-118.363731384,3816362525339528001523114132_381636282533952692122683741,2019,0,1,0,0,0,0,1
33.943466187,-118.352729797,3816472795339436302897997134_3816472695339427102897997133,2019,0,1,0,0,0,0,1
33.969341278,-118.352302551,3816477025339694278749293084_381647745533969302122705823,2019,0,1,0,0,0,1,0
33.945438385,-118.361755371,3816384065339454779327304923_3816381625339454799327304934,2019,0,1,0,0,0,0,1
33.943622589,-118.346969604,3816517335339436271719349068_3816542605339436318414002398,2019,0,1,0,0,0,1,0
33.952690125,-118.370071411,3816299445339526841717101434_3816294025339526725563432400,2020,0,1,0,0,0,0,1
33.952690125,-118.370071411,3816294025339526725563432400_3816299445339526841717101434,2020,0,1,0,0,0,0,1
34.05078125,-118.459182739,3815407465340508076982054141_3815408425340506675081970924,2020,0,1,0,0,0,1,0
33.966709137,-118.353683472,381646320533966714122613170_38164619453396661810286178827,2019,0,1,0,0,0,0,1
33.954589844,-118.393692017,3816062985339548691853464690_381606295533954573122658496,2020,0,1,0,0,0,1,0
33.959838867,-118.428909302,381571531533959828581233492_381569342533959828581233482,2020,0,1,0,0,0,1,0
34.039920807,-118.311531067,3816895105340399274009673262_381688423534039925122991396,2020,0,1,0,0,0,1,0
34.021701813,-118.401863098,3815983825340218293872870651_381598129534021683122956221,2020,0,1,0,0,0,0,1
33.988361359,-118.471290588,381528669533988412123613404_3815287085339883447478020071,2020,0,1,0,0,0,1,0
34.066329956,-118.30784606900001,381692124534067170122583753_3816921445340654396787310925,2020,0,1,0,0,0,0,1
34.042598724,-118.455047607,381544941534042602122767086_38154498753404254910000051778,2020,0,1,0,0,0,1,0
34.038841248,-118.46131134,3815390065340385504011322057_381538671534038851122767107,2020,0,1,0,0,0,0,1
34.110630035,-118.360748291,3816392145341105141520523263_3816393295341108231520523160,2020,0,1,0,0,0,0,1
34.06180191,-118.291679382,3817081975340618025998942581_38170833553406180421300235,2020,0,1,0,0,0,1,0
33.946670532,-118.349189758,3816502815339466636934546904_381650843533946664123303475,2020,0,1,0,0,0,0,1
34.076171875,-118.344039917,38165609853407616710292288580_38165593953407617024960532,2020,0,1,0,0,1,0,0
34.064331055,-118.351463318,3816485535340629346808136961_3816485385340644374981025671,2020,0,1,0,0,0,1,0
34.066329956,-118.30784606900001,3816921445340654396787310925_381692124534067170122583753,2020,0,1,0,0,0,0,1
34.057701111,-118.424301147,3815757565340576618660478641_3815756545340578008285297313,2020,0,1,0,0,0,0,1
34.008758545,-118.424583435,3815754405340087588652200096_381575343534008701123067319,2020,0,1,0,0,0,1,0
34.053890228,-118.462089539,381538126534053856338510719_381537884534053902338510720,2020,0,1,0,0,0,0,1
34.031570435,-118.45274353,381547342534031504123112927_3815472525340315773688027655,2020,0,1,0,0,0,0,1
34.104057312,-118.322372437,381677633534103994241058826_381677644534104597280321346,2020,0,1,0,0,0,1,0
34.067192078,-118.300468445,3816995085340672146787310892_381699620534067211123395985,2020,0,1,0,0,0,1,0
34.067192078,-118.300468445,381699620534067211123395985_3816995085340672146787310892,2020,0,1,0,0,0,1,0
33.965129852,-118.36631012,3816337295339651463860711169_3816332235339649433860711167,2020,0,1,0,0,0,1,0
34.083499908,-118.32460022,3816753805340834948411187168_381675582534083499122684893,2020,0,1,0,0,0,0,1
34.071090698,-118.309120178,38169087053407106810232203692_381690870534071137123184037,2020,0,1,0,0,0,1,0
34.057041168,-118.289093018,3817109105340571909883513396_381710905534056818122657382,2020,0,1,0,0,0,1,0
33.959980011,-118.326499939,381673541533959934123374796_3816735415339600552898309439,2020,0,1,0,0,0,1,0
34.024726868,-118.431610107,3815682355340249268395407017_3815696045340232018395377209,2020,0,1,0,0,0,1,0
34.083499908,-118.32460022,381675582534083499122684893_3816753805340834948411187168,2020,0,1,0,0,0,0,1
33.944515228,-118.325378418,381674642533944286123728746_3816746375339447567825015487,2021,0,1,0,0,0,0,1
33.932781219,-118.326568604,381673439533932912122685713_3816734425339327627278889673,2021,0,1,0,0,0,0,1
33.97088623,-118.32649231,3816735155339703777828571608_381673513533970903123284097,2021,0,1,0,0,0,1,0
34.030574799,-118.396286011,3816039015340309268392545054_3816037185340304718392545057,2021,0,1,0,0,0,1,0
34.038181305,-118.441207886,3815588545340382513933033388_381558727534038177122701209,2021,0,1,0,0,0,0,1
33.945529938,-118.325080872,3816751335339455214052263895_381674597533945515123725804,2021,0,1,0,0,0,0,1
34.090751648,-118.31288147,3816885035340907719432068307_3816869255340907656790292891,2021,0,1,0,0,0,0,1
33.90555954,-118.300384521,3816996065339060074015479390_381699598533905533122965584,2021,0,1,0,0,0,1,0
34.052650452,-118.312187195,381687815534052637122668610_3816878145340527673392717249,2021,0,1,0,0,1,0,0
34.04397583,-118.467384338,381532507534044091123138290_381532862534043789702386437,2021,0,1,0,0,0,1,0
34.125003815,-118.265670776,3817341125341248738207040292_38173437553412501225464330,2021,0,1,0,0,0,1,0
33.769294739,-118.18238830599999,381817599533769253122873563_38181760453376940210023277475,2020,0,1,0,0,0,1,0
33.789920807,-118.191207886,381808900533789870123054521_381808251533789860123161008,2020,0,1,0,0,0,1,0
33.789920807,-118.191207886,381808251533789860123161008_381808900533789870123054521,2020,0,1,0,0,0,1,0
34.033473969,-118.736297607,381263472534033449867377915_381264235534033430123307213,2020,0,1,0,0,0,0,1
