LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
33.889015198,-118.278564453,381721453533889223122885413_3817214715338888234010989450,2019,0,1,0,1,0,0,0
34.073486328,-117.962768555,382037306534073531123080439_3820368175340730684954112873,2019,0,1,0,1,0,0,0
33.993701935,-118.069625854,381931402533993079789102011_3819304045339937384060443452,2019,0,1,0,1,0,0,0
33.804401398,-118.202453613,3817975865338043463110477170_381797584533804442123083494,2019,0,1,0,1,0,0,0
33.820789337,-118.108108521,3818918955338207911905914716_3818915955338204391905914710,2019,0,1,0,1,0,0,0
34.000148773,-118.213088989,3817859325340001356792988105_381786923534000152123313209,2019,0,1,0,1,0,0,0
33.959960938,-118.312599182,3816877685339599608410843861_3816872325339599584012880199,2019,0,1,0,1,0,0,0
33.959960938,-118.312599182,3816872325339599584012880199_3816877685339599608410843861,2019,0,1,0,1,0,0,0
34.248134613,-118.287467957,381712529534248152353929582_3817126885342481227621084682,2019,0,1,0,1,0,0,0
34.218528748,-118.390274048,381609166534219159361191711_3816100105342182058218964650,2019,0,1,0,1,0,0,0
34.218528748,-118.390274048,3816100105342182058218964650_381609166534219159361191711,2019,0,1,0,1,0,0,0
34.308673859,-118.454299927,381546218534308287122674897_381545295534308968122674899,2019,0,1,0,1,0,0,0
34.115909576,-118.275375366,3817251235341162411830255040_3817241285341155811830254982,2019,0,1,0,1,0,0,0
33.791595459,-118.256164551,381743770533791593401423493_38174429253379160720400083,2019,0,1,0,1,0,0,0
33.896030426,-118.210472107,3817892005338960244011754018_381789568533896028122698678,2019,0,1,0,1,0,0,0
34.025531769,-118.304733276,3816956175340255244009734472_381695253534025529123289542,2019,0,1,0,1,0,0,0
33.930500031,-118.211647034,3817882505339308847712340644_3817883825339304642739999465,2019,0,1,0,1,0,0,0
33.960090637,-118.273880005,3817261215339600501424378725_3817261215339601361424379271,2019,0,1,0,1,0,0,0
