LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
33.771053314,-118.24030304,3817593925337726257993907375_3817596605337703091715391624,2018,0,1,0,1,0,0,0
33.945461273,-118.317718506,38168226253394546521300149_3816823725339454654344794996,2019,1,0,0,1,0,0,0
33.945461273,-118.317718506,3816823725339454654344794996_38168226253394546521300149,2019,1,0,0,1,0,0,0
33.97687149,-118.365058899,3816343065339769196789832165_381635003533976861122934659,2019,1,0,0,1,0,0,0
33.949081421,-118.352737427,3816474375339490811719348949_3816472375339490792897997141,2019,1,0,0,1,0,0,0
33.97687149,-118.365058899,381635003533976861122934659_3816343065339769196789832165,2019,1,0,0,1,0,0,0
33.962146759,-118.317756653,381682221533962707122728956_3816822215339620094011046415,2020,0,0,1,1,0,0,0
33.959976196,-118.33052063,3816700815339600246755953908_3816682605339600292898309427,2020,1,0,0,1,0,0,0
33.962146759,-118.317756653,3816822215339620094011046415_381682221533962707122728956,2020,0,0,1,1,0,0,0
34.076236725,-118.31880188,3816809945340762174059526689_381681245534076218123000417,2020,1,0,0,1,0,0,0
34.082431793,-118.432136536,3815677935340825068812918929_3815679605340824408812918928,2020,1,0,0,1,0,0,0
34.082431793,-118.432136536,3815679605340824408812918928_3815677935340825068812918929,2020,1,0,0,1,0,0,0
34.097969055,-118.338661194,38166145853409797710296036334_38166131653409797721569738,2020,1,0,0,1,0,0,0
34.064601898,-118.314056396,3816859175340653291717922347_3816859445340636214008303023,2020,0,0,1,1,0,0,0
34.04133606,-118.564598083,381435563534041354534402902_3814351175340413647888926625,2020,1,0,0,1,0,0,0
34.001037598,-118.273979187,3817261285340010534343588839_3817259995340010511716287963,2021,1,0,0,1,0,0,0
33.965438843,-118.359573364,3816404125339654043860711175_3816404235339654983860711179,2020,0,0,1,1,0,0,0
33.941818237,-118.326698303,3816732935339418441282071708_3816732955339386611282071707,2020,1,0,0,1,0,0,0
34.070831299,-118.146987915,38185393053407128020948450_38185271853407065528448413,2019,1,0,0,1,0,0,0
34.185932159,-118.4009552,381599110534185808361454815_38159894353418614918154011,2022,0,0,1,1,0,0,0
33.929496765,-118.245666504,3817539875339294676792766241_3817544475339294754019926465,2021,0,0,1,1,0,0,0
33.929496765,-118.245666504,3817544475339294754019926465_3817539875339294676792766241,2021,0,0,1,1,0,0,0
34.703857422,-118.324310303,381675680534703849122985698_3816778915347038427433456102,2022,1,0,0,1,0,0,0
34.083469391,-118.338577271,3816619625340834605621178415_381661409534083458122623554,2021,1,0,0,1,0,0,0
