LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
34.02558136,-118.335113525,38166473753402558910272263152_38166489553402558663036097,2018,0,0,1,0,0,0,1
33.949081421,-118.352737427,3816472375339490792897997141_3816474375339490811719348949,2019,0,0,1,0,0,1,0
33.941810608,-118.340629578,3816593225339418308797380981_3816596715339418303695992482,2019,0,0,1,0,0,0,1
33.962841034,-118.36177063,381636065533962840122797247_381638258533962854122699540,2019,0,0,1,0,0,0,1
33.976249695,-118.357620239,3816423335339763931784077058_3816423835339762401784077049,2019,0,0,1,0,0,0,1
33.952728271,-118.352737427,38164741653395272534674232_3816472215339527232897997143,2019,0,0,1,0,0,0,1
33.945449829,-118.349578857,3816507445339454878584982271_3816503935339454908584982270,2019,0,0,1,0,1,0,0
33.962600708,-118.348716736,3816512855339624404635995118_381651291533962644123252404,2019,0,0,1,0,0,0,1
33.952545166,-118.343948364,3816560665339523866755932348_3816560655339526069886135630,2019,0,0,1,0,0,1,0
33.930969238,-118.335166931,381664835533930955122769036_3816648465339312241282221660,2020,0,0,1,0,0,1,0
33.959991455,-118.328796387,381671244533959930123335041_3816712395339600342898309429,2019,0,0,1,0,0,1,0
33.974571228,-118.357658386,381642327533974566123330382_38164247653397456610286197704,2019,0,0,1,0,0,1,0
33.959991455,-118.328796387,3816712395339600342898309429_381671244533959930123335041,2019,0,0,1,0,0,1,0
33.945438385,-118.352729797,3816472655339455028584982267_3816472695339453952897997136,2019,0,0,1,0,1,0,0
33.952545166,-118.343948364,3816560655339526069886135630_3816560665339523866755932348,2019,0,0,1,0,0,1,0
33.961738586,-118.355072021,3816449625339617351717116110_3816443905339617813264566028,2019,0,0,1,0,0,1,0
33.959968567,-118.318069458,3816818445339599461845375592_38168208953395996710297729848,2020,0,0,1,0,0,0,1
33.959991455,-118.32875824,381671244533959930123335041_3816712395339600342898309429,2020,0,0,1,0,0,0,1
33.945430756,-118.361351013,381638662533945364122699314_3816386645339454758584982266,2020,0,0,1,0,0,0,1
33.930969238,-118.335166931,3816648465339312241282221660_381664835533930955122769036,2020,0,0,1,0,0,1,0
33.962146759,-118.317756653,381682221533962707122728956_3816822215339620094011046415,2020,0,0,1,1,0,0,0
33.952728271,-118.325416565,381673492533952727122683824_381674596533952723122683820,2020,0,0,1,0,0,0,1
33.958820343,-118.35736084,3816405025339587981719348967_381642709533958803122570084,2019,0,0,1,0,0,0,1
33.945438385,-118.352729797,3816472655339455028584982267_3816472695339453952897997136,2019,0,0,1,0,0,0,1
