LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
33.962146759,-118.317756653,381682221533962707122728956_3816822215339620094011046415,2020,0,0,1,1,0,0,0
33.962146759,-118.317756653,3816822215339620094011046415_381682221533962707122728956,2020,0,0,1,1,0,0,0
34.064601898,-118.314056396,3816859175340653291717922347_3816859445340636214008303023,2020,0,0,1,1,0,0,0
33.965438843,-118.359573364,3816404125339654043860711175_3816404235339654983860711179,2020,0,0,1,1,0,0,0
34.03666687,-118.375221252,3816245805340365547564376426_3816250825340368384014696398,2020,0,0,1,1,0,0,0
34.071422577,-118.36058044400001,3816393425340714174007740402_3816395095340713932894755480,2020,0,0,1,1,0,0,0
34.071422577,-118.36058044400001,3816395095340713932894755480_3816393425340714174007740402,2020,0,0,1,1,0,0,0
33.9454422,-118.351478577,3816488265339454968584982314_3816484555339454918584982274,2020,0,0,1,1,0,0,0
34.645927429,-118.109550476,381893759534645935122945145_381887677534645929123347371,2020,0,0,1,1,0,0,0
34.645927429,-118.109550476,381887677534645929123347371_381893759534645935122945145,2020,0,0,1,1,0,0,0
33.945541382,-118.282653809,381717361533945533123242118_3817172215339455314344791866,2020,0,0,1,1,0,0,0
33.945541382,-118.282653809,3817172215339455314344791866_381717361533945533123242118,2020,0,0,1,1,0,0,0
34.220027924,-118.58518219,381413656534219982123045579_3814151785342200024020557995,2020,0,0,1,1,0,0,0
34.150398254,-118.365882874,381634138534150377122937228_3816340815341504737644687079,2020,0,0,1,1,0,0,0
34.032470703,-118.361549377,3816383715340323369528822951_381638446534032480123408922,2020,0,0,1,1,0,0,0
34.061454773,-117.786209106,382213703534061417122648122_3822143455340614384085285724,2020,0,0,1,1,0,0,0
33.907623291,-118.208740234,3817912615339077154013019605_3817912735339075416808110797,2020,0,0,1,1,0,0,0
33.903358459,-118.24382019,3817562545339033407082006458_381755276533903340626489103,2020,0,0,1,1,0,0,0
33.900951385,-118.237991333,3817619585339013167071667344_3817619905339006677071667343,2020,0,0,1,1,0,0,0
34.146141052,-118.094589233,381905423534146096582430933_3819054235341461998766548704,2020,0,0,1,1,0,0,0
34.146141052,-118.094589233,3819054235341461998766548704_381905423534146096582430933,2020,0,0,1,1,0,0,0
34.068519592,-117.974884033,382025597534068648473106142_38202340553406837632599491,2020,0,0,1,1,0,0,0
34.172912598,-118.390274048,38160916653417329029409728_381610561534172376361460603,2020,0,0,1,1,0,0,0
33.786140442,-118.225524902,3817745115337864251715318098_3817744555337860061715317885,2020,0,0,1,1,0,0,0
33.919994354,-118.199188232,381800292533920242384342529_381801300533919784924394560,2020,0,0,1,1,0,0,0
33.986381531,-118.398757935,381600928533986612307145406_381601448533986195307148358,2020,0,0,1,1,0,0,0
33.91683197,-118.269615173,3817301315339168138880181488_3817304275339168128880181487,2020,0,0,1,1,0,0,0
33.897377014,-118.369514465,3816304585338973571840728302_3816303115338975961840728304,2020,0,0,1,1,0,0,0
33.888317108,-118.104293823,3818956605338883059182710294_381895624533889214416793820,2020,0,0,1,1,0,0,0
34.006698608,-117.910865784,3820884965340067918392866403_3820891685340066828392866402,2020,0,0,1,1,0,0,0
34.226379395,-118.384841919,3816142915342263554055433734_381617359534226498357994751,2020,0,0,1,1,0,0,0
34.660228729,-118.213409424,381785517534660240123367451_3817869815346602287432143170,2020,0,0,1,1,0,0,0
34.051570892,-118.260452271,381738835534051116806547134_3817396385340516296089109133,2020,0,0,1,1,0,0,0
33.753768921,-118.291252136,381708742533754298298221865_381708752533753712628551083,2020,0,0,1,1,0,0,0
34.016849518,-118.174667358,381825299534016866317623403_381825532534016745806494591,2020,0,0,1,1,0,0,0
34.497566223,-118.268432617,381737879534498334311431721_381729699534497322311431722,2020,0,0,1,1,0,0,0
34.036823273,-117.926246643,382073768534037140122652152_382073769534036748373594142,2020,0,0,1,1,0,0,0
34.391952515,-118.574043274,3814259595343919623054304397_3814259945343918273054425780,2020,0,0,1,1,0,0,0
33.923961639,-118.300361633,381699659533923966317815482_3816986375339239906792059676,2020,0,0,1,1,0,0,0
33.955600739,-118.25643158,381743587533955601277185284_3817429955339555992553888396,2020,0,0,1,1,0,0,0
34.057518005,-118.254508972,38174534153405732769037637_38174559953405757525062130,2020,0,0,1,1,0,0,0
33.97045517,-118.230262756,3817692475339704326474459244_3817697745339704421924062791,2020,0,0,1,1,0,0,0
34.687805176,-118.094749451,381905248534687807122717766_3819052585346868593696063199,2020,0,0,1,1,0,0,0
34.056552887,-118.127479553,381872505534056562122681334_3818730145340565669959341166,2020,0,0,1,1,0,0,0
34.056552887,-118.127479553,3818730145340565669959341166_381872505534056562122681334,2020,0,0,1,1,0,0,0
33.858390808,-118.096031189,3819046715338554234026368741_3819039475338584574026368751,2020,0,0,1,1,0,0,0
33.946640015,-118.280059814,3817199455339467054020163079_3817198785339464494020163078,2020,0,0,1,1,0,0,0
33.877220154,-118.145874023,381854694533877218297838817_381853393533877207297838938,2020,0,0,1,1,0,0,0
33.874034882,-118.228347778,3817748595338741241867976274_3817710355338740271779417933,2020,0,0,1,1,0,0,0
33.789916992,-118.212112427,381787839533789858123521599_3817878415337903225631616009,2020,0,0,1,1,0,0,0
33.953338623,-118.247512817,3817518845339533417455875169_381752522533953351123358767,2020,0,0,1,1,0,0,0
33.953338623,-118.247512817,381752522533953351123358767_3817518845339533417455875169,2020,0,0,1,1,0,0,0
34.24338913,-118.409820557,3815901095342433356788489897_3815903245342434896130186423,2020,0,0,1,1,0,0,0
34.304706573,-118.433349609,381566710534304790123129242_3815665185343046084065737096,2020,0,0,1,1,0,0,0
34.304706573,-118.433349609,3815665185343046084065737096_381566710534304790123129242,2020,0,0,1,1,0,0,0
33.860202789,-118.154418945,3818454485338601996787742395_3818456725338602005233377269,2020,0,0,1,1,0,0,0
34.025611877,-118.270980835,381729180534025827123254962_3817290005340255524012792181,2020,0,0,1,1,0,0,0
34.187492371,-118.536018372,3814639595341872954039006303_3814639605341875974039006304,2020,0,0,1,1,0,0,0
34.093891144,-117.719299316,382280731534093782123368731_3822807315340939132218199116,2020,0,0,1,1,0,0,0
34.039909363,-118.313072205,381686649534039923122737077_381686973534039922122737042,2020,0,0,1,1,0,0,0
33.862224579,-118.266273499,3817337425338623172489971050_3817337425338620617828145643,2020,0,0,1,1,0,0,0
33.970230103,-118.203689575,381796318533970255122918981_3817962955339700764059445842,2020,0,0,1,1,0,0,0
33.8893013,-118.133979797,3818662995338893086790643672_381866010533889308122773512,2020,0,0,1,1,0,0,0
34.57270813,-118.090553284,3819095675345727087885847969_3819086025345727047438513548,2020,0,0,1,1,0,0,0
33.929489136,-118.246246338,3817537515339297414019926466_381753752533929463279644470,2020,0,0,1,1,0,0,0
34.201198578,-118.445976257,381554537534201218123292597_381553753534201214123292600,2020,0,0,1,1,0,0,0
34.704360962,-118.084663391,3819162085347043262818852004_381915241534704321123285199,2020,0,0,1,1,0,0,0
33.995136261,-118.280944824,3817189875339957541720047694_3817190315339950371720047752,2020,0,0,1,1,0,0,0
34.264789581,-118.502243042,3814978745342647776762955259_381497721534264777123099387,2020,0,0,1,1,0,0,0
34.626811981,-118.147720337,381852276534631208122860591_381852254534623895122860588,2020,0,0,1,1,0,0,0
34.558013916,-118.109664917,381889575534558018122896640_3818918555345580152810104943,2020,0,0,1,1,0,0,0
33.824100494,-118.167541504,381832478533824200322710963_3818324745338237739467803872,2020,0,0,1,1,0,0,0
34.0038414,-118.271148682,3817284805340038504019471250_3817299865340038507811952530,2020,0,0,1,1,0,0,0
34.31269455,-118.437080383,3815630635343125686787683259_381562707534312842123170990,2020,0,0,1,1,0,0,0
34.31269455,-118.437080383,381562707534312842123170990_3815630635343125686787683259,2020,0,0,1,1,0,0,0
33.874240875,-118.21622467,38178515553387431310257952870_3817835605338742971779529838,2020,0,0,1,1,0,0,0
33.955379486,-118.25643158,381743578533954702277185285_381743587533955601277185284,2020,0,0,1,1,0,0,0
33.955379486,-118.25643158,381743587533955601277185284_381743578533954702277185285,2020,0,0,1,1,0,0,0
34.205913544,-118.370323181,3816296665342057666746538263_3816296645342062357882624159,2020,0,0,1,1,0,0,0
33.860111237,-118.178230286,381821773533860116122744551_38182177353386000210123215454,2020,0,0,1,1,0,0,0
34.036979675,-118.636154175,381363969534036916123307539_381363579534036930123307537,2020,0,0,1,1,0,0,0
34.036979675,-118.636154175,381363579534036930123307537_381363969534036916123307539,2020,0,0,1,1,0,0,0
33.933120728,-118.254241943,381745749533933131122594633_3817457425339314824020098875,2020,0,0,1,1,0,0,0
33.933120728,-118.254241943,3817457425339314824020098875_381745749533933131122594633,2020,0,0,1,1,0,0,0
34.216960907,-118.466201782,3815338695342168876881049510_3815338545342170606881049509,2020,0,0,1,1,0,0,0
34.062679291,-118.183761597,38181585753406256333155673_38181645853406269829431252,2020,0,0,1,1,0,0,0
33.938735962,-118.265197754,381734829533938290123000885_3817348295339387497864367912,2020,0,0,1,1,0,0,0
34.054889679,-118.277839661,381722160534054890122656748_3817219295340545226734928702,2020,0,0,1,1,0,0,0
34.157840729,-118.147010803,381853081534157836122865847_3818528865341578358456119072,2020,0,0,1,1,0,0,0
34.157840729,-118.147010803,3818528865341578358456119072_381853081534157836122865847,2020,0,0,1,1,0,0,0
34.181213379,-118.370300293,381629676534181236122964716_3816296785341809024046613236,2020,0,0,1,1,0,0,0
33.971817017,-118.308998108,3816910015339711554010985632_381691005533971851123131274,2020,0,0,1,1,0,0,0
34.088302612,-118.173416138,381827178534088577122697426_3818264445340882784012958802,2020,0,0,1,1,0,0,0
33.99609375,-118.465522766,381535254533996527122736309_381534449533996093123070170,2020,0,0,1,1,0,0,0
34.057769775,-118.254447937,38174633953405859073909148_381745473534057676806494794,2020,0,0,1,1,0,0,0
33.816116333,-118.298194885,3817018095338165737495730772_3817018105338159057495730768,2020,0,0,1,1,0,0,0
34.049919128,-118.309051514,381690941534049922123184058_38169105753404992210232224719,2020,0,0,1,1,0,0,0
34.071159363,-118.302909851,3816970715340711781736587865_3816971045340692607506165889,2020,0,0,1,1,0,0,0
34.061630249,-118.267478943,381731576534062055122918104_381732535534061617122674600,2020,0,0,1,1,0,0,0
33.876590729,-118.299407959,3817006195338765231776299128_3817005325338768984015449911,2020,0,0,1,1,0,0,0
33.808010101,-118.27570343,3817244375338080161557576746_3817242925338080082419240886,2020,0,0,1,1,0,0,0
34.021419525,-118.245201111,381754791534021425123105325_381755617534020962273124562,2020,0,0,1,1,0,0,0
