LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
33.96339035,-118.370567322,38162868253396309518166020_38162944453396339418166021,2019,1,0,0,0,1,0,0
33.945449829,-118.349578857,3816507445339454878584982271_3816503935339454908584982270,2019,0,0,1,0,1,0,0
33.945438385,-118.352729797,3816472655339455028584982267_3816472695339453952897997136,2019,0,0,1,0,1,0,0
33.964244843,-118.366279602,3816337885339637538409405267_3816337775339642991719348839,2019,1,0,0,0,1,0,0
34.046550751,-118.448188782,3815518545340465669559516363_3815516505340465143933040010,2020,0,0,1,0,1,0,0
33.941841125,-118.328857422,381671132533941842122593544_3816716855339418431845375622,2020,1,0,0,0,1,0,0
34.046550751,-118.448188782,3815516505340465143933040010_3815518545340465669559516363,2020,0,0,1,0,1,0,0
34.079135895,-118.361480713,3816385225340792044363585499_381638534534078209122736502,2020,1,0,0,0,1,0,0
34.079135895,-118.361480713,381638534534078209122736502_3816385225340792044363585499,2020,1,0,0,0,1,0,0
34.047290802,-118.28855896,3817118635340472697645547568_381711422534047267123318639,2020,1,0,0,0,1,0,0
34.005126953,-118.434646606,3815655575340048304808513450_381565282534005191123598489,2020,0,0,1,0,1,0,0
34.042942047,-118.422904968,3815770545340429328526326366_381577116534042970123698420,2020,1,0,0,0,1,0,0
34.090770721,-118.309051514,3816907915340907721719724363_38169096253409077110232203714,2020,0,0,1,0,1,0,0
34.056518555,-118.419036865,381580926534056507122698967_3815810265340565768670162688,2020,1,0,0,0,1,0,0
34.086521149,-118.376457214,3816235395340862987933600399_3816235455340866137676177618,2020,1,0,0,0,1,0,0
34.083499908,-118.325210571,381675134534083488122684896_3816742655340834884008172740,2020,1,0,0,0,1,0,0
34.026958466,-118.517173767,3814828935340269429888151869_3814822745340272469416815565,2020,1,0,0,0,1,0,0
34.122959137,-118.374847412,381625106534122977499857757_3816251775341229421658574185,2020,1,0,0,0,1,0,0
33.961811066,-118.317756653,381682222533961796122728957_3816822955339617966280759975,2020,1,0,0,0,1,0,0
33.931018829,-118.317779541,3816822265339310303856580008_381682226533930913122728997,2020,1,0,0,0,1,0,0
33.939109802,-118.343933105,381656086533939114122930466_3816557965339391126776804183,2020,0,0,1,0,1,0,0
34.076171875,-118.344039917,38165609853407616710292288580_38165593953407617024960532,2020,0,1,0,0,1,0,0
33.939990997,-118.343940735,3816555675339400066755424706_381656086533940008122786826,2020,0,0,1,0,1,0,0
34.105106354,-118.330314636,3816697445341049871718456682_3816696545341051381718456661,2020,1,0,0,0,1,0,0
34.048919678,-118.440132141,3815599595340489473933036707_381559849534048916122584851,2020,1,0,0,0,1,0,0
34.083808899,-118.361526489,3816385065340838119409592697_3816379285340838004060085028,2020,1,0,0,0,1,0,0
34.027359009,-118.428657532,3815714865340274198495947147_38157132853402735621300195,2020,1,0,0,0,1,0,0
34.058879852,-118.30090332,381699084534059725122733030_3816990895340586456811549892,2020,1,0,0,0,1,0,0
33.935791016,-118.343910217,3816560955339355266758795216_381656094533935801123006782,2020,0,0,1,0,1,0,0
34.039585114,-118.331222534,3816687695340396096281183294_3816687585340395906788181936,2020,0,0,1,0,1,0,0
34.030788422,-118.455871582,3815441465340307818495872844_3815441245340308411712565724,2020,1,0,0,0,1,0,0
34.040527344,-118.463302612,3815367785340404713447657572_381536671534040557123519212,2021,0,0,1,0,1,0,0
34.06350708,-118.31035614,3816894415340635086787825165_381689653534063512122641797,2021,0,0,1,0,1,0,0
33.957645416,-118.396232605,3816037055339576844085396680_38160370453395739110074073767,2021,0,0,1,0,1,0,0
34.038467407,-118.348457336,3816513785340380194009284606_381651559534038479123250740,2021,0,0,1,0,1,0,0
34.038467407,-118.348457336,381651559534038479123250740_3816513785340380194009284606,2021,0,0,1,0,1,0,0
34.056995392,-118.33556366,3816648025340569834008069426_3816641615340569934008069427,2021,1,0,0,0,1,0,0
33.930793762,-118.370117188,38162995853393086750782609_3816298835339307071717090184,2021,0,0,1,0,1,0,0
34.065971375,-118.217414856,38178317553406596821150896_381782480534065961464745180,2021,1,0,0,0,1,0,0
34.036884308,-118.203422546,381796599534036874122620434_3817959615340371664003293294,2021,0,0,1,0,1,0,0
33.993507385,-118.238296509,3817616725339936024019942507_381761728533992967123661549,2021,1,0,0,0,1,0,0
34.057826996,-118.480712891,381519343534057833123056640_381519005534057776123082372,2021,0,0,1,0,1,0,0
